infantry 近战步兵
monster-infantry 怪兽步兵
armor-infantry 装甲-近战步兵
shield-infantry 持盾-近战步兵

archers 远程步兵
shield-archers 持盾-远程步兵
giant-shield-archers 巨型-持盾-远程步兵
armor-archers 装甲-远程步兵
heavy-archers 重装-远程步兵
melee-archers 近战-远程步兵
long-range-archers 长程-远程步兵
melee-shield-archers 近战-持盾-远程步兵

melee-cavalry 近战骑兵
missle-cavalry 远程骑兵
charging-cavalry 冲击骑兵

artillery 炮兵
bombing-artillery 轰炸炮兵

mech 机甲
giant 巨型



anti-infantry 反步兵
anti-large 反大型
anti-armor 高破甲
anti-non-armor 反无甲
resist-charging 抵御冲锋
long-range 长程
high-damage 高伤害
melee-master 近战大师
heavy-armor 高护甲
missle-attack (for mech/giant) 远程攻击
fast (for mech/giant) 迅捷


